segment_id,user_id,8-8_DU1,8-8_DU2,8-8_DUtotal,65-32_DU1,65-32_DU2,65-32_DUtotal,69-32_DU1,69-32_DU2,69-32_DUtotal,16-16_DU1,16-16_DU2,16-16_DUtotal,73-32_DU1,73-32_DU2,73-32_DUtotal,32-83_DU1,32-83_DU2,32-83_DUtotal,73-78_DU1,73-78_DU2,73-78_DUtotal,32-67_DU1,32-67_DU2,32-67_DUtotal,82-69_DU1,82-69_DU2,82-69_DUtotal,32-80_DU1,32-80_DU2,32-80_DUtotal,32-68_DU1,32-68_DU2,32-68_DUtotal,32-65_DU1,32-65_DU2,32-65_DUtotal
0001_1,0001,0.416289592760181,0.02159880834160874,0.024411727695985905,0.5975609756097561,0.5407166123778502,0.4008152173913043,0.7922535211267606,0.5309446254071661,0.3739565943238731,0.006870705808869456,0.026043443648356646,0.008651845361953785,0.583011583011583,0.625,0.3151515151515151,0.5503875968992248,0.8116883116883117,0.16748768472906403,0.6679841897233202,0.7971014492753623,0.2441860465116279,0.6043956043956044,0.7291666666666666,0.12835472578763127,0.539568345323741,0.6807228915662651,0.37524950099800397,0.5653710247349824,0.5471014492753623,0.09811165845648605,0.5857605177993528,0.6490066225165563,0.10479199578725645,0.44,0.4794188861985472,0.12073863636363637
0001_2,0001,0.26244343891402716,0.02333664349553128,0.023405058512646282,0.7164634146341463,0.4788273615635179,0.4741847826086957,0.7429577464788732,0.4820846905537459,0.41068447412353926,0.00655840099937539,0.0255885363357216,0.006826561530317964,0.583011583011583,0.5833333333333334,0.37575757575757573,0.5581395348837209,0.6753246753246753,0.1416256157635468,0.6996047430830039,0.6594202898550725,0.3066860465116279,0.6043956043956044,0.7222222222222222,0.17736289381563594,0.6546762589928058,0.6686746987951807,0.3592814371257485,0.5017667844522968,0.4963768115942029,0.07101806239737274,0.44336569579288027,0.7516556291390728,0.14007372301211163,0.6654545454545454,0.5665859564164649,0.12736742424242425
0002_1,0002,0.5067873303167421,0.014150943396226415,0.020636718258462312,0.3475609756097561,0.33876221498371334,0.30570652173913043,0.3908450704225352,0.34527687296416937,0.32387312186978295,0.004372267332916927,0.01882179006027522,0.005640127039754682,0.40540540540540543,0.3472222222222222,0.5121212121212121,0.3875968992248062,0.34415584415584416,0.0665024630541872,0.3675889328063241,0.3333333333333333,0.4375,0.38095238095238093,0.3680555555555556,0.12602100350058343,0.4028776978417266,0.28313253012048195,0.45109780439121755,0.38162544169611307,0.37318840579710144,0.18883415435139572,0.34627831715210355,0.347682119205298,0.05476566614007372,0.36727272727272725,0.30024213075060535,0.07054924242424243
0002_2,0002,0.497737556561086,0.012164846077457795,0.021391720145967033,0.39634146341463417,0.31596091205211724,0.296195652173913,0.397887323943662,0.34527687296416937,0.24540901502504173,0.004372267332916927,0.01495507790287729,0.003194246705362684,0.4092664092664093,0.3506944444444444,0.5409090909090909,0.4496124031007752,0.4025974025974026,0.07635467980295567,0.3675889328063241,0.3333333333333333,0.4186046511627907,0.3443223443223443,0.3645833333333333,0.19369894982497082,0.41007194244604317,0.3373493975903614,0.37524950099800397,0.3674911660777385,0.37681159420289856,0.10509031198686371,0.35275080906148865,0.3509933774834437,0.11743022643496577,0.37454545454545457,0.30024213075060535,0.11410984848484848
0003_1,0003,0.5158371040723982,0.014895729890764648,0.019126714483452874,0.4115853658536585,0.3322475570032573,0.19157608695652173,0.4084507042253521,0.36156351791530944,0.15525876460767946,0.006870705808869456,0.07938132605481633,0.02416675793085825,0.416988416988417,0.3611111111111111,0.29393939393939394,0.38372093023255816,0.41883116883116883,0.0,0.37549407114624506,0.40942028985507245,0.2805232558139535,0.3772893772893773,0.3333333333333333,0.009334889148191364,0.34532374100719426,0.3493975903614458,0.07984031936127745,0.36395759717314485,0.40217391304347827,0.0603448275862069,0.3559870550161812,0.3741721854304636,0.00315955766192733,0.38181818181818183,0.31234866828087166,0.015625
0003_2,0003,0.25339366515837103,0.021102284011916585,0.020888385554297218,0.4146341463414634,0.3127035830618892,0.19972826086956522,0.426056338028169,0.30293159609120524,0.14357262103505844,0.006870705808869456,0.029227794836802,0.008323294272259337,0.3745173745173745,0.2847222222222222,0.2515151515151515,0.40310077519379844,0.42207792207792205,0.013546798029556651,0.3675889328063241,0.34782608695652173,0.2311046511627907,0.38461538461538464,0.375,0.0,0.4064748201438849,0.35843373493975905,0.17764471057884232,0.3321554770318021,0.39855072463768115,0.055008210180623976,0.32038834951456313,0.40066225165562913,0.0,0.3090909090909091,0.26634382566585957,0.014678030303030304
0004_1,0004,0.2081447963800905,0.06094836146971202,0.04794261985654964,0.7926829268292683,0.6905537459283387,0.6752717391304348,0.8380281690140845,0.739413680781759,0.9515859766277128,0.11336664584634604,0.02012964858410099,0.022816047895447743,0.7992277992277992,0.8125,0.5878787878787879,0.8178294573643411,0.737012987012987,0.27032019704433496,0.6640316205533597,0.7137681159420289,0.5712209302325582,0.684981684981685,0.65625,0.2759626604434072,0.6690647482014388,0.6987951807228916,0.6227544910179641,0.8833922261484098,0.644927536231884,0.20073891625615764,0.7119741100323624,0.7119205298013245,0.26961558715113215,0.7418181818181818,0.5980629539951574,0.16193181818181818
0004_2,0004,0.497737556561086,0.025819265143992055,0.03372341764187744,0.8932926829268293,0.758957654723127,0.6875,0.9119718309859155,0.8273615635179153,0.8781302170283807,0.005621486570893191,0.034061185033549414,0.012174643157010915,0.8301158301158301,0.8541666666666666,0.6333333333333333,0.9612403100775194,0.7857142857142857,0.25862068965517243,0.8023715415019763,0.7753623188405797,0.6482558139534884,0.7289377289377289,0.7291666666666666,0.2543757292882147,0.7482014388489209,0.7771084337349398,0.7984031936127745,0.9257950530035336,0.7608695652173914,0.1958128078817734,0.7864077669902912,0.7682119205298014,0.25434439178515006,0.7927272727272727,0.585956416464891,0.20643939393939395
0004_3,0004,0.2171945701357466,0.031777557100297914,0.037498427079401035,0.8902439024390244,1.0,1.0,1.0,0.8664495114006515,0.8898163606010017,0.005621486570893191,0.03218469236892983,0.008907385098382799,1.0,1.0,0.8212121212121212,0.9844961240310077,0.7662337662337663,0.2315270935960591,0.8932806324110671,0.855072463768116,0.7427325581395349,1.0,0.8611111111111112,0.2870478413068845,0.802158273381295,0.7981927710843374,0.8023952095808383,1.0,0.894927536231884,0.22701149425287356,1.0,0.8874172185430463,0.24381253291205898,0.9854545454545455,0.6876513317191283,0.22490530303030304
0005_1,0005,0.5972850678733032,0.016881827209533268,0.020385050962627407,0.5365853658536586,0.5146579804560261,0.296195652173913,0.5774647887323944,0.5211726384364821,0.32053422370617696,0.005621486570893191,0.008074604799272148,0.001131675975614208,0.6293436293436293,0.5208333333333334,0.3606060606060606,0.5968992248062015,0.5194805194805194,0.09852216748768473,0.5573122529644269,0.5869565217391305,0.375,0.608058608058608,0.5069444444444444,0.13477246207701282,0.5935251798561151,0.5090361445783133,0.5568862275449101,0.49823321554770317,0.5289855072463768,0.1022167487684729,0.4886731391585761,0.4503311258278146,0.0573986308583465,0.5563636363636364,0.43099273607748184,0.11600378787878787
